text,label
Non voluptatem voluptatem eius porro non.,negative
Tempora est sit dolor.,positive
Dolore neque quisquam numquam numquam aliquam.,positive
Neque ipsum aliquam dolor modi modi quaerat dolorem.,positive
Ipsum quaerat sed eius.,negative
Modi dolor dolorem voluptatem.,negative
Etincidunt labore quaerat ipsum quaerat.,positive
Ipsum dolore ut voluptatem dolore ipsum.,negative
Dolorem magnam eius dolore consectetur magnam.,positive
Velit dolorem quisquam numquam aliquam aliquam aliquam est.,negative
Tempora adipisci neque amet est.,positive
Quaerat ipsum dolore etincidunt.,positive
Sed magnam dolore etincidunt ut.,positive
Eius adipisci dolor labore ut.,positive
Modi dolor dolore modi modi labore.,negative
Labore quisquam voluptatem non consectetur.,positive
Magnam etincidunt dolore numquam voluptatem quaerat quisquam dolorem.,negative
Aliquam quaerat ut quaerat.,positive
Sit labore dolore consectetur est dolor est adipisci.,positive
Amet neque dolore quaerat.,positive
Dolor ut non quiquia modi labore.,positive
Tempora modi labore eius ut numquam non dolor.,positive
Voluptatem consectetur amet est.,negative
Eius neque non labore etincidunt etincidunt eius.,positive
Velit quisquam velit dolore labore quisquam.,positive
Velit amet est magnam.,negative
Tempora consectetur tempora neque eius quiquia labore.,negative
Voluptatem ut porro sed tempora non consectetur porro.,positive
Velit voluptatem aliquam velit voluptatem dolore.,positive
Dolorem modi magnam sed amet.,positive
Etincidunt labore sit sed adipisci sed.,negative
Magnam tempora dolore quiquia sed dolorem.,negative
Quaerat consectetur modi amet.,negative
Eius dolorem tempora est non.,negative
Sit numquam quisquam non.,negative
Quisquam quisquam eius tempora dolorem porro sed.,positive
Amet dolorem dolorem quisquam velit ut aliquam.,positive
Tempora sed ipsum modi porro est.,negative
Quaerat voluptatem non consectetur ipsum aliquam labore.,negative
Aliquam modi aliquam labore consectetur adipisci.,positive
Consectetur consectetur tempora neque porro est est.,positive
Quaerat aliquam consectetur porro quisquam.,negative
Velit quiquia est dolore consectetur est aliquam.,positive
Amet etincidunt porro modi quiquia eius tempora.,negative
Quaerat consectetur dolor voluptatem.,negative
Consectetur quisquam quiquia amet sit eius.,negative
Porro non labore non.,negative
Neque neque numquam amet.,positive
Voluptatem consectetur dolore sed magnam ut magnam sed.,negative
Sed aliquam sed etincidunt tempora.,positive
Ut ut quisquam dolor amet amet adipisci voluptatem.,negative
Ipsum tempora sit non numquam labore.,negative
Ipsum dolore consectetur tempora voluptatem etincidunt.,negative
Porro est amet labore quaerat labore.,positive
Est ipsum sit eius adipisci est neque tempora.,positive
Quaerat ipsum magnam voluptatem dolore labore dolorem.,positive
Non aliquam quisquam porro eius.,negative
Eius adipisci quiquia velit.,negative
Neque magnam etincidunt quaerat velit sit dolore dolore.,negative
Aliquam non etincidunt dolor aliquam ut tempora ut.,positive
Ipsum dolorem amet quiquia porro eius porro.,negative
Aliquam dolorem velit consectetur.,positive
Voluptatem magnam quaerat dolorem.,positive
Dolorem consectetur sed neque sit ipsum sit.,positive
Porro amet dolorem consectetur.,negative
Quaerat ut ipsum aliquam.,negative
Quisquam dolor adipisci modi labore quiquia non.,positive
Quisquam dolore dolore adipisci numquam.,positive
Aliquam voluptatem modi magnam neque velit.,positive
Sit modi amet tempora aliquam neque consectetur.,positive
Dolor amet modi quaerat quiquia.,negative
Sit voluptatem etincidunt voluptatem ipsum dolorem sit est.,negative
Quiquia aliquam aliquam non sit numquam labore.,positive
Dolore ipsum est numquam ipsum.,positive
Dolorem neque adipisci tempora neque est.,negative
Quisquam ipsum numquam neque eius porro voluptatem.,positive
Sit quisquam eius velit aliquam ipsum.,positive
Non quiquia modi sed quisquam.,negative
Amet etincidunt numquam magnam.,positive
Dolorem est adipisci sit adipisci modi magnam.,negative
Etincidunt voluptatem voluptatem dolor non.,positive
Labore quiquia sit sed ut amet quiquia.,positive
Quisquam dolor consectetur adipisci voluptatem aliquam sed.,positive
Porro voluptatem quisquam non quiquia dolorem non.,negative
Neque ipsum porro est ipsum eius amet.,negative
Non ut quaerat magnam.,negative
Quisquam dolor est sit ut quaerat adipisci.,negative
Modi non quiquia neque magnam.,negative
Dolor quaerat ipsum modi porro.,negative
Dolor quaerat eius consectetur sit.,positive
Est ut ipsum porro sit.,negative
Modi velit magnam consectetur quiquia neque.,positive
Voluptatem neque consectetur porro magnam.,positive
Est tempora aliquam numquam.,positive
Magnam quisquam quaerat sit neque numquam porro modi.,negative
Modi eius neque amet sed.,negative
Est tempora magnam eius velit.,positive
Magnam adipisci dolor velit eius dolorem.,negative
Etincidunt tempora est labore porro velit dolorem non.,positive
Dolorem voluptatem ipsum est neque.,negative
Magnam velit sit quisquam quiquia amet etincidunt labore.,positive
Numquam neque dolor quiquia quaerat.,negative
Dolor labore quaerat consectetur.,positive
Sit modi sed non porro.,positive
Amet tempora ut est magnam.,negative
Adipisci est ut dolor tempora non.,positive
Etincidunt labore ipsum amet consectetur tempora adipisci.,negative
Sit quiquia dolore est etincidunt velit labore.,positive
Eius consectetur aliquam eius.,positive
Ut tempora ipsum etincidunt quisquam adipisci.,positive
Dolorem ut labore adipisci magnam dolor est.,negative
Ut quaerat ut ut sed.,negative
Quaerat voluptatem modi dolore ut.,negative
Quaerat non magnam consectetur dolor.,negative
Numquam quisquam magnam eius.,negative
Voluptatem dolor sed etincidunt.,negative
Quisquam dolorem eius quisquam.,negative
Quisquam est voluptatem sit porro adipisci.,positive
Sed labore consectetur etincidunt numquam non consectetur.,negative
Velit dolore etincidunt amet consectetur consectetur voluptatem sit.,negative
Tempora non adipisci quisquam aliquam non consectetur.,negative
Etincidunt velit sed velit.,negative
Modi sit quiquia ut non voluptatem magnam adipisci.,negative
Adipisci dolore neque numquam dolorem.,negative
Quaerat velit velit est quiquia.,positive
Est dolorem magnam neque dolore magnam.,negative
Amet est amet quisquam.,positive
Ut neque quisquam sed consectetur eius ipsum velit.,positive
Etincidunt quisquam dolorem dolorem labore.,negative
Eius ipsum adipisci sit dolore sed consectetur etincidunt.,positive
Ut labore etincidunt ipsum.,positive
Voluptatem ipsum amet voluptatem.,negative
Dolorem etincidunt voluptatem aliquam numquam velit dolor.,negative
Sed amet est modi sit ipsum modi sit.,positive
Neque modi labore voluptatem porro dolor.,positive
Est etincidunt labore ipsum consectetur eius tempora.,positive
Sit consectetur labore etincidunt quisquam quiquia modi.,negative
Quaerat amet eius adipisci aliquam.,negative
